"Company","CDM","Status","Type","Geography","Public/ Private","Asset Types","PE AUM (billions)","RE AUM (billions)","Number of Sites","Rank","Tier","HQ Region","Frameworks","Notes","","BFO Company ID","BFO Company Name","Zoom Company ID","Zoom Company Name","Zoom Webiste","Email Domain","Contacts","Contact Types","Salesperson Tiered List","Status","","","","","PE OR RE","Tier List","","","","",""
"Francisco","Kendal Etling","Hold Off","Asset Management Firm","","","","25.775","","","Missing Data","Not on Target List","","Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Tiger Global Management","Cristy House","Hold Off","Asset Management Firm","","","","25.695","","","Missing Data","Tier 3","North America","Largest","","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Blue Owl Capital","Dan Baldauf","Qualifying","Private Equity","Global","Public","Retail/Mixed Use, Light Industrial/Logistics, Private Equity","25.672","63","641.8","15","Tier 1","North America","UN PRI, Largest","","","","Blue Owl Capital","","","","firstname.lastname@blueowl.com","0","-","Dan Baldauf","TRUE","","","","","","1","","","","",""
"Brookfield Asset Management","Dan Baldauf","Hold Off","Asset Management Firm","Global","Private","Commercial Office, Medical Office/Senior Living, Hotels, Retail/Mixed Use, Multifamily, Single family, Light Industrial/Logistics, Malls, Life Sciences, Storage, Strategic Account","25.382","208","2000","13","Tier 1","North America","NZAM, UN PRI, Largest","","","","Brookfield Asset Management Inc (BAM) - Headquarters","","Brookfield Corp","brookfield.com","firstname.lastname@brookfield.com","0","-","Dan Baldauf","TRUE","","","","","","1","","","","",""
"B Capital","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","6.939","","173.475","09","Not on Target List","North America","Largest","","","","","","B Capital Group","b.capital","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Permira Advisers","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","23.787","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Altaris","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","6.146","","153.65","09","Tier III","North America","Largest","","","","","","Altaris Capital Partners","www.altariscap.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"L Catterton","Cristy House","Hold Off","Asset Management Firm","","","","22.954","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"BOND","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.5","","112.5","06","Not on Target List","North America","Largest","","","","","","BOND","www.bondcap.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Ardian","Cristy House","Hold Off","Asset Management Firm","","","","21.654","2.48183","","Missing Data","Tier 2","EU","Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Platinum Equity","Cristy House","Hold Off","Asset Management Firm","","","","21.478","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"China Merchants Capital","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","20.146","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Hillhouse Capital Group","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","19.924","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Pathway Capital Management","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.247","","106.175","06","Not on Target List","North America","Largest","","","","","","Pathway","www.pathwaycapital.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"HarbourVest Partners","Cristy House","Hold Off","Asset Management Firm","","","","17.808","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Sagard Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.191","","104.775","06","Not on Target List","North America","Largest","","","","","","Sagard","www.sagardholdings.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"ICONIQ Capital","Gretchen Bisig","Inside Sales","Private Equity","NAM","Private","Private Equity","16.657","","416.425","10","Tier 2","North America","Largest","","","","","399604238","","","","0","-","Gretchen Bisig","TRUE","","","","","","1","","","","",""
"Hamilton Lane","Cristy House","Inside Sales","Private Equity","Global","Public","Private Equity","16.255","","406.375","13","Tier 2","North America","UN PRI, Largest","","","","","47353583","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"BlackRock","Cristy House","Hold Off","Asset Management Firm","","","","15.065","","","Missing Data","Tier 1","North America","GRESB, NZAM, UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Astorg","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","14.347","","","Not Targeting","Not on Target List","France","NZAM, Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"China Reform Fund Management Corporation","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","14.01","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Vitruvian Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","13.538","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"PAI Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","13.35","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Accel","Cristy House","Inside Sales","Private Equity","Global","Private","Private Equity","13.34","","333.5","11","Tier III","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"EIG","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.135","","103.375","07","Not on Target List","North America","UN PRI, Largest","","","","","","EIG Global Energy Partners","www.eigpartners.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"The Riverside Company","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.651","","91.275","06","Not on Target List","North America","UN PRI, Largest","","","","","","Riverside","www.riversidecompany.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"MBK Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","12.763","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"HongShan","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","12.576","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Berkshire Partners","Cristy House","Hold Off","Asset Management Firm","","","","12.401","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Roark Capital Group","Cristy House","Inside Sales","Private Equity","Global","Private","Private Equity","11.904","","297.6","11","Not on Target List","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Gryphon Investors","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.506","","87.65","05","Not on Target List","North America","Largest","","","","","","Gryphon Advisors","www.gryphon-inv.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Paradigm","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.419","","85.475","05","Not on Target List","North America","Largest","","","","","","Paradigm Equity Partners","www.paradigmequitypartners.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"IVP","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.4","","85","05","Not on Target List","North America","Largest","","","","","","IVP","www.ivp.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"BC Partners","Kendal Etling","Hold Off","Asset Management Firm","","","","11.605","","","Missing Data","Not on Target List","EU","GRESB, Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"LGT Capital Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","11.562","","","Not Targeting","Not on Target List","Switzerland","NZAM, Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"WestCap","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.348","","83.7","05","Not on Target List","North America","Largest","","","","","","WestCap Group","www.westcap.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Morgan Stanley Investment Management","Cristy House","Inside Sales","Asset Management Firm","","","","11.201","","","Missing Data","Not on Target List","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Oak Hill Capital","Gretchen Bisig","Hold Off","Asset Management Firm","","","","11.051","","","Missing Data","Tier 2","North America","UN PRI, Largest","PE dinner","","","","","","","","0","-","Gretchen Bisig","TRUE","","","","","","1","","","","",""
"Altimeter Capital Management","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","3.264","","81.6","06","Not on Target List","North America","Largest","","","","","","Altimeter Capital","www.altimeter.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Rhône Group","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.938","","73.45","05","Not on Target List","North America","Largest","","","","","","Rhone Group","www.rhonegroup.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Bregal Investments","Not targeting opportunity size","Hold Off","Asset Management Firm","","","","10.831","","","Not Targeting","Not on Target List","North America","NZAM, Largest","-","","","","480321156","Bregal Investments","www.bregal.com","firstinitiallastname@bregal.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Baypine","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.901","","72.525","05","Tier III","North America","Largest","","","","","","BayPine Capital","www.baypine.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Patient Square Capital","Cristy House","Hold Off","Asset Management Firm","","","","10.6","","","Missing Data","Tier 3","North America","Largest","","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Alvarez & Marsal Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.893","","72.325","05","Tier III","North America","Largest","","","","","","A&M Capital","www.a-mcapital.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"GreenOaks Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.761","","69.025","05","Not on Target List","North America","Largest","","","","","","Greenoaks","www.greenoaks.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Avista Healthcare Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.75","","68.75","05","Not on Target List","North America","Largest","","","","","","Avista Capital Partners","www.avistacap.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Adams Street Partners","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","11.557","","288.925","11","Tier 3","North America","Largest","","","","","1281423","Adams Street Partners","www.adamsstreetpartners.com","firstinitiallastname@adamsstreetpartners.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"GI Partners","Kendal Etling","Inside Sales","Asset Management Firm","NAM","Private","Data Centers, Life Sciences, Light Industrial/Logistics","10.156","4.301","14.33666667","10","Not on Target List","North America","GRESB, UN PRI, Largest","BX Stakes","","","GI Partners","44667371","GI Partners","www.gipartners.com","firstinitiallastname@gipartners.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Oaktree Capital Management","Sam Ouimet","Hold Off","Asset Management Firm","Global","Public","","9.951","15","50","14","Tier 2","North America","GRESB, UN PRI, Largest","Should I be targeting?","","","Oaktree Capital Management LLC","","","#N/A","","0","-","Sam Ouimet","TRUE","","","","","","1","","","","",""
"AE Industrial Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.733","","68.325","05","Not on Target List","North America","Largest","","","","","672098","AE Industrial Partners","www.aeroequity.com","firstinitiallastname@aeroequity.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Centerbridge Partners","Cristy House","Hold Off","Asset Management Firm","","","","9.86","","","Missing Data","Tier 3","North America","UN PRI, Largest","","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"IK Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","9.705","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Alpine Investors","Cristy House","Inside Sales","Private Equity","NAM","Private","Private Equity","9.599","","239.975","11","Not on Target List","North America","UN PRI, Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"AEA Investors","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","6.873","","171.825","09","Not on Target List","North America","Largest","","","","","1952796","AEA Investors","www.aeainvestors.com","firstinitiallastname@aeainvestors.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Waterland Private Equity Investments","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","9.371","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"CPE","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","9.016","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Oakley Capital Private Equity","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","8.928","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Kohlberg & Company","Kendal Etling","Inside Sales","Asset Management Firm","","","","8.7","","","Missing Data","Not on Target List","North America","UN PRI, Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Altas Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.868","","121.7","06","Not on Target List","North America","Largest","","","","","358087373","Altas Partners","www.altas.com","firstinitiallastname@altaspartners.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Ampersand Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.56","","64","05","Not on Target List","North America","Largest","","","","","","Ampersand Capital","www.ampersandcapital.com","firstinitiallastname@ampersandcapital.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Andreessen Horowitz","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","34.224","","855.6","13","Tier 3","North America","Largest","","","","","345623686","Andreessen Horowitz","www.a16z.com","firstinitiallastname@a16z.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"Aquiline Capital Partners","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","4.665","","116.625","07","Not on Target List","North America","Largest","","","","","2524160","Aquiline Capital Partners","www.aquiline.com","firstinitiallastname@aquiline-llc.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Accel-KKR","Cristy House","Inside Sales","Private Equity","NAM","Private","Private Equity","7.835","","195.875","09","Not on Target List","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Inflexion Private Equity Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","7.748","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"ARCH Venture Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","9.376","","234.4","10","Tier 3","North America","Largest","","","","","17421285","ARCH Venture Partners","www.archventure.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Arctos Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","10.498","","262.45","10","Tier 3","North America","Largest","","","","","1220084209","Arctos Partners","www.arctospartners.com","firstname.lastname@arctospartners.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"Ares Management","Gretchen Bisig","Hold Off","Asset Management Firm","","","","7.666","","","Missing Data","Tier 1","North America","Largest","","","","","","","","","0","-","Gretchen Bisig","TRUE","","","","","","1","","","","",""
"Arlington Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","4.11","","102.75","06","Tier III","North America","Largest","","","","","2703757","Arlington Capital Partners","www.arlingtoncap.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Eurazeo","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","7.537","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Investindustrial","Cristy House","Hold Off","Asset Management Firm","","","","7.505","","","Missing Data","Tier 3","United Kingdom","NZAM, Largest","","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Nautic","Kendal Etling","Hold Off","Asset Management Firm","","","","7.5","","","Missing Data","Not on Target List","","Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Audax Group","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","10.638","","265.95","11","Tier 3","North America","UN PRI, Largest","","","","","3343269","Audax Group","www.audaxgroup.com","firstinitiallastname@audaxgroup.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"Archimed","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","7.353","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"TowerBrook Capital Partners (a Blue Owl co.)","Dan Baldauf","Hold Off","Private Equity","NAM","Private","Private Equity","7.27","","181.75","09","Not on Target List","North America","-","","","","Towerbrook Capital Partners L P - Headquarters","175112253","","","georgia.mohrbacher@towerbrook.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Arcline Investment Management","Cristy House","Inside Sales","Asset Management Firm","","","","7.25","","","Missing Data","Not on Target List","North America","UN PRI, Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Aurora Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.66","","91.5","05","Not on Target List","North America","Largest","","","","","9964355","Aurora Capital Partners","www.auroracap.com","firstinitiallastname@auroracap.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Battery Ventures","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","6.23","","155.75","10","Tier 3","North America","Largest","","","","","1143074968","Battery Ventures","www.battery.com","firstname@battery.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"BDT & MSD Partners","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","23.088","","577.2","13","Tier 3","North America","Largest","","","","","566160860","BDT & MSD Partners","www.bdtmsd.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Bertram Capital","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","2.8","","70","05","Not on Target List","North America","Largest","","","","","31756775","Bertram Capital","www.bertramcapital.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Bessemer Venture Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","8.125","","203.125","10","Tier 3","North America","Largest","","","","","17634452","Bessemer Venture Partners","www.bvp.com","firstinitiallastname@bvp.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"Investcorp","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","6.859","","","Not Targeting","Not on Target List","EMEA","Largest","","","","","","","","","0","","#N/A","#N/A","","","","","","1","","","","",""
"DCP Capital","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","6.7","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","","#N/A","#N/A","","","","","","1","","","","",""
"Hahn & Co.","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","6.7","","","Not Targeting","Not on Target List","APAC","Largest","","","","","","","","","0","","#N/A","#N/A","","","","","","1","","","","",""
"Bonaccord Capital Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","3.07","","76.75","05","Tier III","North America","Largest","","","","","1311640894","Bonaccord Capital Partners","www.bonaccordcapital.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
